SC10,Barranco de las Angustias,1309,1208,18.2,6.64,,
SC11,Buenavista del Norte,1060,940,20.85,4.51,20,302
SC12,El Palmar,861,334,3.9,8.56,17,94
SC13,Realejo Alto,1186,1151,9.56,12,25,651
SC14,El Puertito,1104,1099,13.74,8,16,308
SC14,La Caleta,1104,1096,12.44,8.8,18,364
SC15,Ricasa/La Concepción,1053,965,12.2,7.9,15,291
SC15,Ricasa/Era Alta,1053,965,8.9,10.8,19,379
SC16,Valle Gran Rey,1033,1026,15.84,6.4,14,235
SC16,Playa Vallehermoso,1033,1004,14.55,6.9,13,213
SC16,Playa Alojera,1033,993,14.22,7,14,222
CA01,Heras,569,543,5.9,9.2,18,177
CA02,Puentenansa,1354,1193,37.6,3.17,8,181
CA02,Potes,1354,1067,29,3.68,8,155
CA03,Potes,1677,1372,28.2,4.87,14,242
CA04,Fresneda,1260,936,21.85,4.28,9,146
CA05,Vega de Pas,1166,793,14.2,5.58,8,133
CA06,La Cavada,674,614,12.6,4.87,7,109
CA06,Arredondo,674,513,8.9,5.76,10,89
CA06,Bustablado,674,503,10.5,4.44,22,112
CA07,Ramales de la Victoria,918,836,18.8,4.45,10,149
CA07,Fresnedo,918,738,13.4,5.51,10,127
CA08,Arredondo,1227,1089,20.6,5.29,13,218
CA09,Coterillo,687,482,5.2,9.27,21,211
CA09,Lloreda/Eslés,687,547,11,5,16,122
CA10,Selaya,720,480,8.2,5.85,8,86
CA10,Vega de Pas,720,360,6.2,5.81,7,60
CA11,Liérganes,1320,1240,32.2,3.85,12,220
CA12,Selaya,822,593,10.75,5.61,11,118
CA12,San Roque de Riomiera,822,392,6.5,6.03,,79
CA13,La Hermida,1112,1004,10.3,9.75,15,339
CA14,Los Pandos,1011,638,7.6,8.4,15,189
CA15,Espinilla,1982,1052,21.25,4.95,16,191
CA16,La Hermida,663,537,10.37,5.18,12,98
CA16,Sobrelapeña,663,424,7.72,5.49,13,75
CA17,La Florida,531,474,10.88,4.36,13,98
CA17,Rábago,531,443,6.5,6.82,15,98
CA18,Bustablado,920,698,9,7.76,26,242
CA18,La Pedrosa,920,560,5.21,10.75,21,215
CA19,Villasuso de Cieza,761,541,6.25,8.66,16,149
CA19,Los Llares,761,514,7.9,6.51,11,101
AB01,Río Tus,1120,492,8.03,6.12,13,100
AB02,Vianos,1430,561,19.7,2.84,11,110
AB03,Villaverde de Guadalimar,1251,466,8.6,5.42,9,85
AB04,La Graya,1375,750,11.5,6.52,12,182
AB05,Juntas de Miller,1284,542,8.61,6.7,,117
AB06,CM-3216 (Sur),1333,397,8.15,4.87,11,67
AB07,Yeste,1423,815,14.4,5.66,11,163
AB07,Boche,1423,803,15.8,5.1,,171
AB08,CM-412,1482,479,8,5.99,9,83
AB09,Villaverde de Guadalimar,1135,350,8.8,4,10,85
AB10,Río Segura,950,300,3.1,9.68,20,95
CR01,Garganta del Montoro,1016,576,17.4,3.31,10,112
CR02,Presa de Montoro,970,420,12.15,3.62,12,83
CR03,CR-1342,890,260,4.5,5.78,15,64
CR04,Río Guadiana,806,350,6.25,5.65,12,69
CR05,Río Robledillo,993,501,9.1,5.51,9,80
CR06,Río Robledillo,957,467,7.5,6.23,10,84
CR07,Villarrubia de los Ojos,960,323,8,4.04,10,48
CU01,Villalba de la Sierra,1410,438,13.32,3.29,10,69
CU01,Valdecabras,1410,488,17.12,2.85,10,73
CU02,Villar del Humo,1295,446,13.56,3.29,10,80
CU03,La Olmeda,1073,418,7.6,5.5,12,69
CU04,Cuenca,1152,231,10.04,2.3,17,43
CU05,Puente de la Trinidad,1180,268,4,6.7,14,57
CU05,Casas Colgadas,1180,261,3.68,7.09,20,65
CU06,Aula de la Naturaleza,1610,531,18.7,2.84,10,106
CU07,Villalba de la Sierra,1463,478,11,4.35,11,73
CU08,Tragacete,1774,524,16,3.15,12,144
CU09,Alcantud,1241,398,6.64,6,13,83
CU10,Peralejos de las Truchas,1596,456,7.1,6.42,15,104
CU10,Puente de Vadillos,1596,652,25,2.61,15,111
GU01,Majaelrayo,1750,613,27,2.27,16,162
GU03,Villares de Jadraque,1765,795,17,4.68,12,168
GU03,Las Navas de Jadraque,1765,687,11.35,6.05,12,145
GU04,Corralejo,1514,520,9.6,5.47,15,133
GU04,La Hiruela,1514,383,9.6,4,,
GU05,Valle de Tajuña,962,227,4.1,5.5,8,35
GU06,Puente Río Tajo,1312,271,8.33,3.25,14,78
GU08,Umbralejo/La Huerce ,1560,495,18.4,2.69,10,100
GU09,Poveda de la Sierra,1414,381,8,4.76,11,68
TO01,Río Majadillas,1154,405,9.14,4.43,10,60
TO01,Navahermosa/Hontanar,1154,416,12.3,3.38,12,68
TO01,Navas de Estena,1154,475,9.6,4.95,11,82
TO02,San Román de los Montes,1223,799,19.2,4.2,14,145
TO02,La Iglesuela,1223,763,18.7,4.1,,110
TO02,Buenaventura,1223,785,18.6,4.2,,125
TO03,Retuerta de Bullaque,1205,440,8,5.5,10,84
TO03,San Pablo de los Montes ,1205,454,10,4.54,15,90
AV01,Villafranca de la Sierra,1663,598,11.8,5.04,12,104
AV02,Piedrahita,1909,847,14.8,5.72,11,140
AV03,Burgohondo,1514,679,15.6,4.35,9,97
AV04,Santa Cruz del Valle,1571,1046,22.3,4.69,10,163
AV04,Mombeltrán,1571,1046,23.5,4.42,8,
AV04,Puente del Morisco,1571,721,18.15,3.97,9,121
AV05,Tremedal,1637,597,11,5,12,106
AV05,Becedas,1637,547,9.4,5.81,,
AV06,Navacepeda de Tormes,1759,482,11.6,4.16,15,91
AV07,Arenas de San Pedro,1100,600,8.7,6.9,12,131
AV08,N-502 Navalsauz,1642,387,6.1,6.34,18,97
AV09,Mombeltrán,1391,866,15.1,5.7,10,148
AV10,Gavilanes,1570,1081,22.2,4.87,11,162
AV10,Río Alberche,1570,737,15,4.88,8,97
AV11,Arenas de San Pedro,1350,850,16,5.31,11,147
AV12,CL-501,1242,807,18.5,4.4,8,112
AV12,Lanzahíta,1242,801,16.9,4.73,16,133
AV13,Puente del Morisco,1682,820,15.1,5.4,20,196
AV14,Puente del Morisco,1615,757,17.6,4.3,15,147
AV15,Cebreros,1225,439,10.8,5.06,9,73
AV16,Herradón de Pinares,1380,368,4,9.2,21,109
AV17,Arenas de San Pedro,1138,633,11.5,5.5,12,123
BU02,Añes,728,536,18.2,2.95,12,91
BU03,Villavelayo,1872,939,19.7,4.77,17,246
BU03,Quintanar de la Sierra (Carr. Vieja),1872,784,13.7,5.72,17,180
BU03,Quintanar de la Sierra/El Collado,1872,782,14.8,5.28,17,213
BU03,Huerta de Arriba,1872,670,15.5,4.32,17,171
BU04,Valdenoceda,1005,420,8.4,5,10,80
BU05,Pesquera de Ebro,1027,374,7.1,5.27,9,68
BU06,Poza de la sal,1093,458,8.1,5.66,12,78
BU07,Frias,1003,458,12.4,3.69,10,76
BU08,Las Machorras,1614,796,14.7,5.41,17,152
BU09,Espinosa de los Monteros,1512,772,8.5,9.1,17,233
BU10,Las Machorras,1227,422,7.24,5.83,11,75
BU11,Valmala,1661,674,10.2,6.61,14,146
LE01,Truchas,1840,720,14.4,5,16,194
LE02,Molinaseca,1510,915,14.4,6.35,16,189
LE02,Compludo,1510,670,8.5,7.88,16,184
LE03,Rio Cabrera,1410,845,18.1,4.66,18,247
LE04,Pombriego,976,540,6.7,8,24,160
LE04,Castroquillame,976,566,7.9,7.16,24,
LE05,Tejedo,1670,710,8.05,8.82,17,251
LE06,Vegacervera,1408,375,9,4.17,10,69
LE07,Benuza,1309,819,9.8,8.36,20,231
LE07,Sigüeya,1309,744,9.45,7.87,19,209
LE08,Rio Cabrera,1035,485,5.6,8.66,17,132
LE09,Herrerias,1405,735,9.6,7.65,16,185
LE10,Caín,1463,965,18.8,5.13,21,238
LE10,Puente Vidosa (AS),1463,1180,29.8,3.96,,179
LE11,Ponferrada,1098,565,18.8,3,9,156
LE12,La Baña,1837,785,10.7,7.34,15,181
LE13,Ponferrada,1946,1436,33,4.35,15,378
LE13,Nogar,1946,1138,18.6,6.12,13,261
LE15,Caín,1562,1077,19,5.66,21,274
LE16,Matarrosa del Sil,1164,442,4.9,9,17,151
LE17,Carucedo,944,420,5.87,7.15,15,94
PA01,Salcedillo,1800,874,19.8,4.5,13,165
PA01,Barruelo de Santullán,1800,780,13.8,5.41,13,138
PA02,Aviñante,1450,290,3.75,6.8,16,67
PA03,Ventanilla,1414,376,9.5,4,10,57
SA01,Río Ambroz ,1110,600,9.7,6.3,,119
SA02,Presa,655,503,9,5.59,14,93
SA03,Béjar,1857,925,14.4,6.42,13,
SA04,Presa,722,507,8.5,6,16,101
SA04,Playa del Rostro,704,364,4.8,7.58,21,95
SA05,Abadía,940,464,8,5.7,17,109
SA06,El Cabaco,1723,720,12,6,11,126
SA06,Monsagro,1723,769,16.28,4.72,,118
SA07,Las Mestas,1252,810,14.9,5.44,10,153
SA08,Béjar,1962,1112,19.7,5.64,14,250
SA09,La Regajera,1031,464,9.9,4.7,9,70
SA09,Las Casas del Conde,1031,441,9.5,4.64,9,67
SE01,La Pradera de Navalhorno,1860,630,11.4,5.53,10,124
SE03,Navafría,1778,570,10.85,5.25,10,92
SE04,Riaza,1750,542,13.5,4.01,10,99
SE05,Puente de la Cantina,1643,314,4.2,7.47,15,85
SE05,Valsaín,1643,460,11.2,4.11,20,92
SE06,La Pradera de Navalhorno,1711,521,7.2,7.24,21,146
SO01,Montenegro de Cameros,1583,368,6.2,5.93,9,68
SO02,Navaleno,1330,235,10.2,2.3,11,54
SO03,Duruelo de la Sierra,1529,337,6.7,5.03,8,54
SO04,Santa Inés,1715,435,7.8,5.58,16,100
SO06,Pinar Grande,1405,265,5.15,5.15,14,42
SO06,CL-117,1405,287,5.64,5.09,7,43
SO07,Deza,1307,450,13.7,3.29,15,103
SO08,Póveda de Soria,1710,427,9.6,4.45,,60
SO09,Montenegro de Cameros,1753,589,11.75,5.01,12,93
SO09,Vinuesa,1753,505,9.3,5.43,10,84
